d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
1608	0.000275
1609	0.000232
1610	0.000334
1611	0.000160
1612	0.000344
1613	0.000338
1614	0.000206
1615	0.000120
1616	0.000133
1617	0.000268
1618	0.000140
1619	0.000258
1620	0.000263
1621	0.000341
1622	0.000323
1623	0.000243
1624	0.000122
1625	0.000118
1626	0.000146
1627	0.000106
1628	0.000164
1629	0.000140
1630	0.000149
1631	0.000108
1632	0.000217
1633	0.000115
1634	0.000123
1635	0.000130
1636	0.000161
1637	0.000229
1638	0.000133
1639	0.000208
1640	0.000111
1641	0.000116
1642	0.000134
1643	0.000241
1644	0.000193
1645	0.000136
1646	0.000121
1647	0.000142
1648	0.000145
1649	0.000133
1650	0.000119
1651	0.000113
1652	0.000212
1653	0.000206
1654	0.000107
1655	0.000145
1656	0.000134
1657	0.000113
1658	0.000123
1659	0.000213
1660	0.000116
1661	0.000164
1662	0.000289
1663	0.000366
1664	0.000113
1665	0.000265
1666	0.000135
1667	0.000117
1668	0.000262
1669	0.000274
1670	0.000116
1671	0.000120
1672	0.000117
1673	0.000124
1674	0.000130
1675	0.000243
1676	0.000115
1677	0.000123
1678	0.000124
1679	0.000117
1680	0.000150
1681	0.000116
1682	0.000133
1683	0.000255
1684	0.000334
1685	0.000223
1686	0.000122
1687	0.000133
1688	0.000211
1689	0.000257
1690	0.000104
1691	0.000146
1692	0.000129
1693	0.000110
1694	0.000120
1695	0.000120
1696	0.000110
1697	0.000112
1698	0.000117
1699	0.000125
1700	0.000123
1701	0.000108
1702	0.000143
1703	0.000136
1704	0.000120
1705	0.000122
1706	0.000129
1707	0.000318
1708	0.000109
1709	0.000134
1710	0.000122
1711	0.000107
1712	0.000234
1713	0.000105
1714	0.000318
1715	0.000151
1716	0.000144
1717	0.000266
1718	0.000254
1719	0.000117
1720	0.000138
1721	0.000247
1722	0.000163
1723	0.000173
1724	0.000167
1725	0.000129
1726	0.000121
1727	0.000121
1728	0.000125
1729	0.000149
1730	0.000337
1731	0.000107
1732	0.000132
1733	0.000162
1734	0.000169
1735	0.000236
1736	0.000281
1737	0.000201
1738	0.000117
1739	0.000112
1740	0.000122
1741	0.000223
1742	0.000147
1743	0.000115
1744	0.000122
1745	0.000114
1746	0.000317
1747	0.000139
1748	0.000109
1749	0.000108
1750	0.000248
1751	0.000133
1752	0.000232
1753	0.000201
1754	0.000163
1755	0.000105
1756	0.000110
1757	0.000252
1758	0.000127
1759	0.000106
1760	0.000109
1761	0.000233
1762	0.000105
1763	0.000120
1764	0.000119
1765	0.000172
1766	0.000123
1767	0.000120
1768	0.000311
1769	0.000127
1770	0.000128
1771	0.000125
1772	0.000172
1773	0.000114
1774	0.000142
1775	0.000111
1776	0.000112
1777	0.000107
1778	0.000123
1779	0.000117
1780	0.000119
1781	0.000119
1782	0.000178
1783	0.000175
1784	0.000131
1785	0.000118
1786	0.000164
1787	0.000158
1788	0.000109
1789	0.000215
1790	0.000122
1791	0.000245
1792	0.000107
